state_i,state_j,barrier_i_pj,barrier_j_pj,barrier_difference_pj,provenance_status
skyrmion_antiskyrmion_merge_to_hopfion,hopfion_collapse,2.24e-4,2.86e-4,-6.2e-5,raw_moesm_verification_pending
skyrmion_antiskyrmion_merge_to_hopfion,hopfion_escape,2.24e-4,7.32e-4,-5.08e-4,raw_moesm_verification_pending
hopfion_collapse,hopfion_escape,2.86e-4,7.32e-4,-4.46e-4,raw_moesm_verification_pending
